Gene_ID	Top1_NAA1	Top1_NAA2	Top1_IAA1	Top1_IAA2
A1BG	0.000000	0.000000	1.356175	0.701219
A1BG-AS1	0.000000	0.000000	1.206581	1.437060
A1CF	0.144926	0.129185	0.072201	0.177983
A2M	0.000000	0.000000	0.400387	0.254818
A2M-AS1	0.356653	0.489712	2.697759	1.321902
A2ML1	0.000000	0.000000	0.000000	0.000000
A2MP1	0.0	0.000000	0.000000	0.000000
A3GALT2	0.000000	0.000000	0.419355	0.348974
A4GALT	0.809273	1.310229	25.318356	16.876673
A4GNT	0.0	0.0	0.000000	0.000000
AA06	0.0	0.000000	0.0	0.000000
AAAS	1.349483	2.498639	32.551991	24.425695
AACS	1.161698	2.476061	23.454988	14.948209
AACSP1	0.625747	1.502069	6.286437	3.853333
AADAC	0.828144	1.083437	1.343088	1.160025
AADACL2	0.0	0.0	0.0	0.0
AADACL2-AS1	0.0	0.0	0.0	0.0
AADACL3	0.0	0.0	0.029143	0.000000
AADACL4	0.000000	0.0	0.000000	0.000000
AADACP1	2.047323	1.702870	3.225756	2.672614
AADAT	1.279953	1.820085	10.528500	6.828228
AAED1	0.371429	0.838367	4.084082	3.937959
AAGAB	2.509395	4.097769	17.811802	11.147388
AAK1	1.775625	2.407195	9.633140	6.166682
AAMDC	0.718254	1.607143	11.926587	8.359127
AAMP	0.535695	1.577112	31.738420	22.799999
AANAT	0.076301	0.112189	2.239573	1.842871
AAR2	1.381194	2.344304	30.558409	18.787703
AARD	0.0	0.0	0.000000	0.000000
AARS	4.258672	6.380084	53.689892	35.461422
AARS2	1.235048	2.952739	29.789209	20.218529
AARSD1	0.000000	0.000000	19.481308	13.900293
AASDH	0.800029	0.948311	3.609010	2.370921
AASDHPPT	1.532611	1.295413	8.850783	6.560635
AASS	1.006643	1.068642	2.520184	1.571453
AATBC	0.903871	1.351675	15.414528	10.220096
AATF	0.0	0.0	0.0	0.0
AATK	0.198462	0.604110	7.433161	3.839718
AATK-AS1	0.000000	0.095117	0.896005	1.026633
ABALON	4.342962	5.320082	54.119671	34.164719
ABAT	0.085245	0.100240	0.989072	0.636872
ABCA1	0.100362	0.233384	1.945344	1.290802
ABCA10	0.000000	0.051335	0.142316	0.000000
ABCA11P	2.526300	3.431283	15.585647	8.734146
ABCA12	0.136713	0.290181	0.410459	0.227855
ABCA13	0.0	0.0	0.000000	0.000000
ABCA17P	0.166428	0.423352	3.746178	2.544413
ABCA2	0.435766	0.799402	16.698984	11.299314
ABCA3	0.114148	0.374830	5.065835	3.435163
ABCA4	0.000000	0.000000	0.164232	0.060478
ABCA5	0.222921	0.352399	1.422282	0.927505
ABCA6	0.0	0.0	0.054192	0.014917
ABCA7	0.503520	0.730713	18.050308	13.014813
ABCA8	0.0	0.0	0.0	0.0
ABCA9	0.0	0.0	0.0	0.000000
ABCA9-AS1	0.0	0.0	0.0	0.000000
ABCB1	0.179389	0.129983	1.407125	0.616200
ABCB10	1.056521	1.953850	9.695359	6.332123
ABCB11	0.0	0.0	0.0	0.0
ABCB4	0.000000	0.000000	0.000000	0.000000
ABCB5	0.0	0.0	0.005538	0.000000
ABCB6	0.908217	1.729291	25.211729	19.856527
ABCB7	1.022152	1.324367	7.282832	5.346915
ABCB8	0.788807	1.171700	15.751001	10.832946
ABCB9	0.189614	0.329772	7.112760	5.106232
ABCC1	0.0	0.0	0.0	0.0
ABCC10	0.741764	1.083981	23.363052	15.509900
ABCC11	0.000000	0.000000	0.016504	0.000000
ABCC12	0.0	0.0	0.000000	0.000000
ABCC13	0.0	0.0	0.0	0.0
ABCC2	4.029930	5.294528	25.102644	17.085016
ABCC3	1.028837	1.651110	20.077156	12.959400
ABCC4	0.657515	0.737417	3.325835	1.980621
ABCC5	0.546552	0.851217	7.248073	4.836815
ABCC5-AS1	0.776119	2.501066	8.837954	6.761194
ABCC6	0.0	0.0	0.0	0.0
ABCC6P1	0.043319	0.000000	0.410242	0.165243
ABCC6P2	0.0	0.0	0.0	0.0
ABCC8	0.0	0.0	0.041633	0.000000
ABCC9	0.0	0.034933	0.079602	0.060341
ABCD1	0.452784	0.659662	12.208515	8.674946
ABCD2	0.0	0.000000	0.000000	0.000000
ABCD3	2.060311	3.957071	10.627074	7.253621
ABCD4	1.186886	2.032309	20.623375	14.716503
ABCE1	5.826230	6.567095	12.617410	9.675959
ABCF1	0.0	0.0	0.0	0.0
ABCF2	2.038655	4.087780	26.690958	18.087378
ABCF3	2.113919	3.274106	35.422119	26.620918
ABCG1	0.013135	0.000000	0.557076	0.426192
ABCG2	0.290966	0.053782	1.252521	0.594118
ABCG4	0.000000	0.000000	3.368722	2.334682
ABCG5	0.000000	0.000000	0.292701	0.205839
ABCG8	0.000000	0.0	0.132833	0.202627
ABHD1	1.071872	1.339330	15.375191	10.206938
ABHD10	5.363151	6.589095	39.671062	27.837137
ABHD11	0.962470	3.699758	53.941895	34.792976
ABHD11-AS1	0.828753	0.993658	31.272728	18.585739
ABHD12	0.511616	1.590387	15.369559	9.489719
ABHD12B	0.902810	1.274005	3.615360	2.568398
ABHD13	0.612222	0.778574	1.578461	1.401169
ABHD14A	0.000000	0.553249	8.205770	3.579213
ABHD14A-ACY1	0.400414	0.000000	2.584236	9.242764
ABHD14B	1.365613	2.400903	24.259748	17.106689
ABHD15	0.529359	0.983010	8.749339	5.663789
ABHD16A	0.0	0.0	0.0	0.0
ABHD16B	1.173423	1.505068	29.530405	19.203829
ABHD17A	0.557692	0.780934	29.070972	20.799110
ABHD17B	1.988037	1.145706	13.786503	10.129448
ABHD17C	1.553390	2.343644	19.788136	12.717796
ABHD2	1.063944	1.721778	9.900946	6.534436
ABHD3	3.067492	2.525160	15.181837	9.323215
ABHD4	0.595456	1.287365	8.726186	7.797130
ABHD5	1.328227	1.866243	6.184943	4.159537
ABHD6	0.699958	1.238195	7.953197	6.042624
ABHD8	0.620574	1.304785	34.078949	22.361244
ABI1	2.843696	3.622972	13.763838	8.830074
ABI2	5.233146	5.606178	20.568501	13.546340
ABI3	0.034614	0.000000	3.003144	1.703651
ABI3BP	0.943215	1.477979	2.181534	1.500335
ABL1	0.604585	0.958202	10.520008	6.895909
ABL2	2.063492	3.077735	13.886057	9.543297
ABLIM1	2.895459	4.883175	22.045885	15.202095
ABLIM2	0.415354	0.430709	4.339961	3.053346
ABLIM3	0.276685	0.407493	6.213688	3.934282
ABO	0.129829	0.404687	4.485117	3.402470
ABR	0.0	0.0	0.0	0.0
ABRA	1.219317	1.056282	1.778867	0.681554
ABRACL	0.447337	1.538462	7.452071	4.997633
ABT1	2.193106	3.349094	27.758858	19.521873
ABTB1	0.179031	0.339763	9.349654	6.415430
ABTB2	1.477259	1.574954	23.844585	16.567204
ACAA1	0.963764	1.201846	20.796041	13.325808
ACAA2	0.000000	0.362461	3.389968	3.300414
ACACA	0.0	0.0	0.0	0.0
ACACB	0.494216	0.701914	9.791545	6.739540
ACAD10	1.001704	1.587290	11.665692	7.109082
ACAD11	0.197636	0.341602	3.399725	1.448150
ACAD8	0.731940	1.072240	9.058155	5.912767
ACAD9	1.613959	3.579426	37.894222	29.253002
ACADL	0.000000	0.000000	0.185141	0.000000
ACADM	1.901207	2.246249	11.164654	6.202342
ACADS	0.000000	0.371442	12.910468	9.080349
ACADSB	0.616310	0.811648	3.522976	2.334960
ACADVL	2.987340	5.169587	60.431572	44.263084
ACAN	0.0	0.000000	0.084276	0.000000
ACAP1	0.823365	1.280702	11.148332	8.571771
ACAP2	2.845328	3.027336	8.883124	5.704463
ACAP3	0.471402	0.636339	13.612397	8.971269
ACAT1	3.868791	4.662137	13.453609	9.184161
ACAT2	1.008121	1.073223	8.203514	4.788040
ACBD3	2.828331	3.941936	20.102945	14.799439
ACBD4	0.167634	0.415820	8.169595	5.825471
ACBD5	1.439718	1.493302	9.318371	6.904114
ACBD6	3.998762	5.880569	50.669556	33.950497
ACBD7	0.291988	0.387240	1.596439	1.167359
ACCS	0.296543	0.683067	11.080674	7.350177
ACCSL	0.0	0.000000	0.000000	0.000000
ACD	0.712121	1.372217	32.352547	22.094145
ACE	0.000000	0.152190	3.490349	2.451002
ACE2	0.0	0.0	0.000000	0.0
ACER1	0.0	0.0	0.000000	0.000000
ACER2	0.639201	0.884993	5.061711	3.666900
ACER3	0.622733	0.892395	2.403945	1.756995
ACHE	0.050551	0.230719	5.197019	3.976345
ACIN1	4.248488	5.679607	57.713196	40.595100
ACKR1	0.0	0.0	0.0	0.0
ACKR2	0.0	0.0	0.197973	0.517568
ACKR3	0.0	0.0	0.000000	0.0
ACKR4	1.183256	1.555556	4.429784	2.787037
ACLY	4.502404	6.726482	59.957428	39.308079
ACMSD	0.064849	0.230656	0.988209	0.592731
ACO1	1.973204	3.064365	13.613536	9.614917
ACO2	2.160806	4.549490	40.378403	26.452654
ACOT1	0.053649	0.000000	0.208359	0.064255
ACOT11	0.646417	0.926523	16.712070	11.570568
ACOT12	0.0	0.000000	0.000000	0.000000
ACOT13	2.932765	3.641653	11.194639	7.415046
ACOT2	0.0	0.051988	0.000000	0.000000
ACOT4	0.0	0.000000	0.000000	0.000000
ACOT6	0.0	0.000000	0.000000	0.000000
ACOT7	1.439096	3.380075	52.836338	37.583084
ACOT8	0.975577	1.114111	19.733408	14.815685
ACOT9	2.080486	3.020845	16.465546	10.604516
ACOX1	0.887743	1.415893	8.454247	5.627927
ACOX2	0.214379	0.348636	2.624946	1.258987
ACOX3	0.866040	1.137091	11.906752	7.780097
ACOXL	0.308049	0.726515	5.725664	3.368524
ACP1	4.742295	4.461743	26.706697	17.374603
ACP2	2.020294	3.377807	39.083591	28.255613
ACP5	0.000000	0.262431	4.625967	2.684530
ACP6	0.580752	0.648783	13.792312	8.753319
ACPP	0.0	0.0	0.167627	0.103981
ACPT	1.205642	2.131403	24.664492	17.341499
ACR	0.000000	0.233577	0.000000	0.456204
ACRBP	0.000000	0.135207	0.930541	0.606045
ACRC	0.257709	0.743235	2.259282	2.065764
ACRV1	0.649362	2.074043	13.764255	9.356595
ACSBG1	0.189597	0.446644	2.097316	1.530872
ACSBG2	0.462531	0.853173	5.107924	3.639656
ACSF2	0.370392	0.550907	10.140548	6.694760
ACSF3	0.704330	1.083400	13.662230	9.275181
ACSL1	0.198040	0.377433	2.803457	2.190894
ACSL3	10.812887	13.584726	32.382027	21.883741
ACSL4	2.772446	3.131584	6.298219	4.360450
ACSL5	0.500000	0.737974	3.831818	2.432701
ACSL6	0.000000	0.018395	0.099711	0.084020
ACSM1	0.0	0.0	0.000000	0.000000
ACSM2A	0.0	0.0	0.0	0.0
ACSM2B	0.0	0.0	0.0	0.000000
ACSM3	0.000000	0.177459	1.541601	0.657441
ACSM4	0.000000	0.416523	1.787161	1.314980
ACSM5	0.0	0.0	0.0	0.0
ACSM6	0.000000	0.267951	0.753649	0.584355
ACSS1	0.0	0.0	0.0	0.000000
ACSS2	0.424424	0.579177	5.383499	3.926989
ACSS3	0.0	0.0	0.0	0.0
ACTA1	0.000000	0.120643	0.583780	0.595845
ACTA2	0.263343	0.000000	8.342173	3.680981
ACTA2-AS1	0.442757	0.622614	2.949407	2.346306
ACTB	39.660229	60.768764	546.526367	358.138458
ACTBL2	0.0	0.0	0.0	0.042949
ACTC1	0.000000	0.000000	0.000000	0.000000
ACTG1	37.154396	59.438477	549.618530	364.878662
ACTG1P17	0.142857	0.335956	1.003935	1.223366
ACTG1P20	2.310498	3.144953	22.421730	15.388586
ACTG1P4	0.298033	0.282400	1.053959	0.239032
ACTG2	0.000000	0.000000	0.000000	0.000000
ACTL10	1.156805	2.542406	55.615383	36.646942
ACTL6A	2.815519	3.307811	20.653648	13.069372
ACTL6B	0.000000	0.000000	1.880470	0.921620
ACTL7A	0.729058	0.420812	3.630890	2.308901
